Tool ID,Tool Name,Category,Subcategory,Pricing Model,Status,URL,Description,Platform,Department,Use Cases,Learning Curve,Priority,Data Classification,Owner,Date Added,Last Reviewed,Notes,Limitations,When to Use,Alternatives,Cost Note,Security Tip,Approved Models,Assigned To,Testing Notes
AIT-001,ChatGPT,LLM / Assistants,Chatbot,Freemium,Approved,https://chatgpt.com,"General-purpose conversational AI for writing, research, coding, brainstorming, and analysis.",Web; Mobile; API,Everyone,General Chat; Research; Coding; Documentation; Email Writing,Low,High,Internal,Admin,2026-07-07,2026-08-03,Default general assistant for everyday work. Prefer Claude for long-document reasoning when context limits matter.,Weaker for very long documents versus Claude. Do not paste client secrets or confidential code into unapproved chats.,"Everyday writing, brainstorming, quick coding help, and general Q&A.",Claude for long documents; Perplexity when citations matter; Gemini for Workspace-heavy work.,Freemium; Plus/Team plans if you need higher limits and better models.,Internal data only unless the workspace is explicitly approved. Never paste client secrets.,GPT,,
AIT-002,Claude,LLM / Assistants,Reasoning,Freemium,Approved,https://claude.ai,"Strong reasoning and long-context assistant for documents, analysis, coding, and careful writing.",Web; Desktop; API,Development,General Chat; Research; Coding; Documentation; Report Writing,Low,High,Internal,Admin,2026-07-07,2026-08-03,Preferred for long documents and careful analysis. Strong context handling versus general chat tools.,Paid usage can add up at high volume. Prefer approved workspaces only for anything beyond Internal data.,"Long-document analysis, careful writing, complex reasoning, and coding reviews.",ChatGPT for everyday chat; Cursor for deep IDE work.,Freemium; Pro/Team recommended for heavy daily use.,Prefer approved Anthropic workspaces. Keep Confidential client data off personal accounts.,Claude,,
AIT-003,Gemini,LLM / Assistants,Chatbot,Freemium,Approved,https://gemini.google.com,"Google multimodal assistant integrated with Workspace and search workflows for chat, docs, and media understanding.",Web; Mobile; API,Everyone,General Chat; Research; Documentation; Knowledge Management,Low,Medium,Internal,Admin,2026-07-07,2026-08-03,"Approved for team use, especially Workspace and multimodal workflows. Not the primary default versus ChatGPT/Claude.",Still validating as a team default. Confirm Workspace data handling before using with client material.,"Google Workspace workflows, multimodal understanding, and search-linked research.",ChatGPT or Claude as primary assistants until Gemini is confirmed as a default.,Freemium via Google accounts; Advanced tiers may be needed for higher limits.,Confirm Workspace/admin settings before using with client or regulated data.,Gemini,,
AIT-004,GitHub Copilot,AI Coding,Code Editor,Paid,Approved,https://github.com/features/copilot,"AI pair programmer for in-editor code completion, explanation, tests, and refactoring inside GitHub and IDEs.",Desktop; CLI,Development,Coding; Code Review; Debugging,Low,Medium,Internal,Admin,2026-07-07,2026-08-03,Solid baseline pair programmer in GitHub/IDEs. Cursor is the Production coding tool for deeper project-aware work.,Less project-aware than Cursor for multi-file work. Review all suggested code before merging.,Inline completions and light pair-programming inside GitHub/IDEs.,Cursor for multi-file project work; Antigravity for agentic coding sessions.,Paid individual/business seats — confirm who is licensed.,Disable training on sensitive repos if policy requires. Review every suggestion.,GPT; Claude,,
AIT-005,Cursor,AI Coding,IDE,Paid,Production,https://cursor.com,"AI-native IDE for code generation, multi-file editing, and project-aware assistance across large codebases.",Desktop,Development,Coding; Debugging; Code Review; Documentation,Medium,Critical,Internal,Akshay,2026-07-07,2026-08-03,"Core AI coding IDE for delivery. Strong team adoption and the default for multi-file, project-aware work.",License cost and cloud features need clear policy. Keep client secrets out of unapproved model routes.,"Day-to-day software delivery, refactors, and project-aware coding.",GitHub Copilot for lighter completion; Antigravity for agent-first workflows; Windsurf while testing alternate AI IDEs.,Paid seats — treat as a core Production license cost.,Follow team rules for which models may see client code. No secrets in prompts.,Claude; GPT; Gemini,,
AIT-006,Perplexity,LLM / Assistants,Research Assistant,Freemium,Approved,https://www.perplexity.ai,Research assistant with cited answers and fast web-grounded responses for discovery and fact checking.,Web; Mobile; API,Everyone,Research; Deep Research; Learning,Low,High,Internal,Admin,2026-07-07,2026-08-03,Best first stop for cited web research. Prefer over plain LLM chat when sources matter.,Citations can still be wrong—verify sources. Not a substitute for primary research on critical claims.,Fast web research with citations and fact-finding before deeper analysis.,ChatGPT/Claude for synthesis; NotebookLM for your own document packs.,Freemium; Pro helps with higher limits and better research modes.,Do not paste confidential briefs into public research chats.,GPT; Claude; Gemini,,
AIT-008,Notion AI,LLM / Assistants,Knowledge Base,Paid,Approved,https://www.notion.so/product/ai,"Writing, summarization, and knowledge-base assistance inside Notion workspaces.",Web; Desktop; Mobile,Operations,Documentation; Knowledge Management; Meeting Notes; Email Writing,Low,Medium,Internal,Admin,2026-07-07,2026-08-03,Useful inside existing Notion workflows for summaries and drafting. Not a replacement for research or coding tools.,Only useful inside Notion; quality varies. Do not treat it as a dedicated research or coding tool.,"Summaries, drafts, and light writing inside existing Notion workspaces.",ChatGPT/Claude for heavier writing; NotebookLM for document Q&A outside Notion.,Paid Notion AI add-on — confirm workspace subscription.,Respect Notion workspace permissions; do not move client data into personal Notion spaces.,GPT; Claude,,
AIT-009,OpenClaw,Agents & automation,Desktop Agent,Open Source,Production,https://openclaw.ai,"Self-hosted personal AI agent with messaging gateway, browser tools, persistent memory, and proactive automation.",Desktop; CLI; API,Automation,API Integration; Web Scraping; Coding,High,High,Internal,Admin,2026-07-07,2026-08-03,Core self-hosted agent gateway across messaging channels. Keep client secrets off unapproved models.,Self-hosted agents can touch many systems—lock down channels and keep secrets off unapproved models.,Self-hosted personal/team agent across messaging channels and local automation.,Hermes Agent for similar self-hosted agent work; n8n only as archived reference.,Open source software; you pay for hosting and the underlying model APIs.,Lock down channel allowlists. Keep client secrets off unapproved models and logs.,Claude; GPT; Gemini; Llama; DeepSeek,,
AIT-010,Hermes Agent,Agents & automation,Self Hosted,Open Source,Production,https://hermes-agent.org,"Open-source autonomous agent with persistent memory, self-improving skills, cron jobs, and multi-platform messaging gateway.",Desktop; CLI; API,Automation,API Integration; Coding; Web Scraping,High,High,Internal,Admin,2026-07-07,2026-08-03,"Core self-hosted agent for terminal, browser, and scheduled automations on our infrastructure.",Requires careful hosting and access control. Misconfigured agents can run unintended automations.,"Self-hosted autonomous tasks, terminal/browser work, and scheduled agent jobs.",OpenClaw for messaging-gateway style agents; OpenHands for sandboxed coding agents.,Open source; infrastructure and model API costs apply.,"Treat agent hosts as production systems—patch, restrict SSH, and audit tool permissions.",Claude; GPT; Llama; DeepSeek,,
AIT-011,NotebookLM,LLM / Assistants,Knowledge Base,Free,Testing,https://notebooklm.google.com,"Google research assistant grounded in uploaded documents, notes, and sources with cited answers and audio overviews.",Web,Everyone,Knowledge Management; Research; Documentation; Learning,Low,Medium,Internal,Admin,2026-07-07,2026-08-03,"Piloting for document Q&A, briefing packs, and knowledge synthesis. Do not upload client-confidential files without approval.",Do not upload client-confidential files without approval. Grounding quality depends on source quality.,"Q&A and briefings grounded in uploaded docs, notes, and source packs.",Perplexity for open web research; Dify for custom RAG apps.,Free tier via Google; watch Workspace policy for higher volume.,Do not upload client-confidential files without approval.,Gemini,,
