List Name,Value
Tool Category,LLM / Assistants
Tool Category,AI Coding
Tool Category,Agents & automation
Tool Category,Scraping & browser
Tool Category,Data & BI
Tool Category,Creative & productivity
Lifecycle Status,Proposed
Lifecycle Status,Researching
Lifecycle Status,Testing
Lifecycle Status,Pilot
Lifecycle Status,Adopted
Lifecycle Status,Production
Lifecycle Status,Deprecated
Lifecycle Status,Archived
Lifecycle Status,Rejected
DCS Business Area,Python Engineering
DCS Business Area,Ecommerce
DCS Business Area,Automation
DCS Business Area,Web Scraping
DCS Business Area,ETL / ELT
DCS Business Area,Data Engineering
DCS Business Area,Data Analytics
DCS Business Area,Power BI / Reporting
DCS Business Area,Customer Support
DCS Business Area,Internal Operations
DCS Business Area,Marketing / Sales
Data Classification,Public
Data Classification,Internal
Data Classification,Client Confidential
Data Classification,Restricted
Publishing Status,Internal only
Publishing Status,Client-ready
Publishing Status,Website-ready
Publishing Status,Case-study candidate
Priority,P0 — Critical
Priority,P1 — High
Priority,P2 — Medium
Priority,P3 — Low
Validation Decision,Not started
Validation Decision,Extend pilot
Validation Decision,Approve
Validation Decision,Reject / Archive
Review Frequency,Monthly
Review Frequency,Quarterly
Review Frequency,Semi-annual
Review Frequency,Annual
